gnb_id,rnti,toa_val,snr,timestamp,timestamp_in_seconds
0,58709,4.0,24.0,2023-05-25 16:00:31.221256,0.0
0,58709,6.0,24.0,2023-05-25 16:00:31.824747,0.603491
1,0,73.0,0.0,2023-05-25 16:00:32.220067,0.0
0,58709,6.0,24.0,2023-05-25 16:00:32.428294,1.207038
1,0,82.0,0.0,2023-05-25 16:00:32.521833,0.301766
0,58709,8.0,24.0,2023-05-25 16:00:32.729669,1.508413
1,0,38.0,0.0,2023-05-25 16:00:33.125120,0.905053
0,58709,6.0,25.0,2023-05-25 16:00:33.332487,2.111231
1,0,59.0,0.0,2023-05-25 16:00:33.728396,1.508329
1,0,60.0,0.0,2023-05-25 16:00:34.030065,1.809998
2,0,49.0,0.0,2023-05-25 16:00:34.538503,0.0
0,58709,8.0,26.0,2023-05-25 16:00:34.633665,3.412409
0,58709,6.0,24.0,2023-05-25 16:00:34.935836,3.71458
2,0,68.0,0.0,2023-05-25 16:00:35.141744,0.603241
0,58709,7.0,26.0,2023-05-25 16:00:35.237533,4.016277
2,0,95.0,0.0,2023-05-25 16:00:35.443121,0.904618
1,0,44.0,0.0,2023-05-25 16:00:35.538573,3.318506
0,58709,8.0,26.0,2023-05-25 16:00:35.539185,4.317929
0,58709,8.0,22.0,2023-05-25 16:00:35.840908,4.619652
1,0,21.0,0.0,2023-05-25 16:00:36.141786,3.921719
0,58709,9.0,21.0,2023-05-25 16:00:36.142342,4.921086
2,0,32.0,0.0,2023-05-25 16:00:36.347554,1.809051
1,0,5.0,0.0,2023-05-25 16:00:36.443445,4.223378
0,58709,6.0,24.0,2023-05-25 16:00:36.444069,5.222813
1,0,57.0,0.0,2023-05-25 16:00:36.745126,4.525059
0,58709,7.0,26.0,2023-05-25 16:00:36.745525,5.524269
2,0,33.0,0.0,2023-05-25 16:00:36.950783,2.41228
1,0,48.0,0.0,2023-05-25 16:00:37.047038,4.826971
0,58709,8.0,24.0,2023-05-25 16:00:37.047840,5.826584
1,0,64.0,0.0,2023-05-25 16:00:37.348825,5.128758
0,58709,7.0,24.0,2023-05-25 16:00:37.349206,6.12795
1,0,22.0,0.0,2023-05-25 16:00:37.650525,5.430458
0,58709,8.0,26.0,2023-05-25 16:00:37.651157,6.429901
0,58709,9.0,16.0,2023-05-25 16:00:37.952822,6.731566
0,58709,9.0,26.0,2023-05-25 16:00:38.254724,7.033468
2,0,58.0,0.0,2023-05-25 16:00:38.459429,3.920926
0,58709,9.0,24.0,2023-05-25 16:00:38.556325,7.335069
0,58709,9.0,24.0,2023-05-25 16:00:38.857742,7.636486
2,0,10.0,0.0,2023-05-25 16:00:39.063392,4.524889
1,0,63.0,0.0,2023-05-25 16:00:39.158714,6.938647
0,58709,9.0,24.0,2023-05-25 16:00:39.159110,7.937854
2,0,14.0,1.0,2023-05-25 16:00:39.365887,4.827384
1,0,48.0,0.0,2023-05-25 16:00:39.460394,7.240327
0,58709,7.0,24.0,2023-05-25 16:00:39.461060,8.239804
2,0,50.0,0.0,2023-05-25 16:00:39.667397,5.128894
1,0,31.0,0.0,2023-05-25 16:00:39.762057,7.54199
0,58709,9.0,24.0,2023-05-25 16:00:39.762835,8.541579
2,0,25.0,0.0,2023-05-25 16:00:39.969261,5.430758
1,0,35.0,0.0,2023-05-25 16:00:40.063800,7.843733
0,58709,9.0,26.0,2023-05-25 16:00:40.064482,8.843226
2,0,26.0,0.0,2023-05-25 16:00:40.270828,5.732325
1,0,46.0,0.0,2023-05-25 16:00:40.365485,8.145418
0,58709,9.0,25.0,2023-05-25 16:00:40.366331,9.145075
1,0,67.0,0.0,2023-05-25 16:00:40.667097,8.44703
0,58709,9.0,24.0,2023-05-25 16:00:40.667808,9.446552
1,0,55.0,0.0,2023-05-25 16:00:40.968889,8.748822
0,58709,10.0,24.0,2023-05-25 16:00:40.969258,9.748002
1,0,24.0,0.0,2023-05-25 16:00:41.270552,9.050485
